Sample in Buffer,Sample in Window,TRIGGER,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tuser[69:0],check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_0_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_1_axis_tlast,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tdata[127:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tkeep[15:0],check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tvalid,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tready,check_40G_sim_i/system_ila_1/inst/net_slot_2_axis_tlast,Interface_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],Interface_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],Interface_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0],T_Channel_(i2:s0)_(axis_data_fifo_8_M_AXIS)[2:0],T_Channel_(i2:s1)_(ecpri_demux_0_ctrl_data_out)[2:0],T_Channel_(i2:s2)_(ecpri_demux_0_user_data_out)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
77,77,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
78,78,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
79,79,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
80,80,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
81,81,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
82,82,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
83,83,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
84,84,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
85,85,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
86,86,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
87,87,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
88,88,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
89,89,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
90,90,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
91,91,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
92,92,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
93,93,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
94,94,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
95,95,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
96,96,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
97,97,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
98,98,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
99,99,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
100,100,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
101,101,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
102,102,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
103,103,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
104,104,0,00000000000000000000000000000000,000000000000000000,0,0,0,00000000000000000000000000000000,ffff,0,1,0,00000000000000000000000000000000,ffff,0,1,0,"_","Inactive","Inactive","_","No Streams","No Streams"
