Sample in Buffer,Sample in Window,TRIGGER,CU_Integration_sim_i/system_ila_4/inst/probe0_1[15:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tkeep[7:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_0_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_1_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_2_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_3_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_4_axis_tlast,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tdata[63:0],CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tvalid,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tready,CU_Integration_sim_i/system_ila_4/inst/net_slot_5_axis_tlast,Interface_(i5:s0)_(newset2_configs_0_data_out)[2:0],Interface_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],Interface_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],Interface_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],Interface_(i5:s4)_(S_AXIS1_2)[2:0],Interface_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0],T_Channel_(i5:s0)_(newset2_configs_0_data_out)[2:0],T_Channel_(i5:s1)_(BBU_config_manager_0_ORAN_index_V_V)[2:0],T_Channel_(i5:s2)_(BBU_config_manager_0_ORAN_V_V)[2:0],T_Channel_(i5:s3)_(config_manager_oran_0_beam_data_V_V)[2:0],T_Channel_(i5:s4)_(S_AXIS1_2)[2:0],T_Channel_(i5:s5)_(config_manager_oran_0_C_PLANE_V_V)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
1634,1634,0,45558,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1635,1635,0,45559,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1636,1636,0,45560,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1637,1637,0,45561,70090a2200600000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1638,1638,0,45562,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1639,1639,0,45563,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1640,1640,0,45564,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1641,1641,0,45565,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1642,1642,0,45566,70090a2200600000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1643,1643,0,45567,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1644,1644,0,45568,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1645,1645,0,45569,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1646,1646,0,45570,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1647,1647,0,45571,70090a2200600000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1648,1648,0,45572,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1649,1649,0,45573,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1650,1650,0,45574,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1651,1651,0,45575,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1652,1652,0,45576,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1653,1653,0,45577,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1654,1654,0,45578,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1655,1655,0,45579,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1656,1656,0,45580,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1657,1657,0,45581,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1658,1658,0,45582,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1659,1659,0,45583,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1660,1660,0,45584,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1661,1661,0,45585,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1662,1662,0,45586,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200600000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1663,1663,0,45587,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1664,1664,0,45588,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1665,1665,0,45589,70100208e0300000,ff,1,1,0,70090a2200600000,0,1,0,70100208e0300000,1,1,0,70090a2200600000,0,1,0,70090a2200600000,1,1,0,70090a2200600000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1666,1666,0,45590,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1667,1667,0,45591,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1668,1668,0,45592,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1669,1669,0,45593,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1670,1670,0,45594,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1671,1671,0,45595,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1672,1672,0,45596,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1673,1673,0,45597,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1674,1674,0,45598,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1675,1675,0,45599,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1676,1676,0,45600,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1677,1677,0,45601,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1678,1678,0,45602,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1679,1679,0,45603,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1680,1680,0,45604,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1681,1681,0,45605,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1682,1682,0,45606,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1683,1683,0,45607,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1684,1684,0,45608,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1685,1685,0,45609,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1686,1686,0,45610,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1687,1687,0,45611,70090a2200700000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1688,1688,0,45612,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1689,1689,0,45613,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1690,1690,0,45614,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1691,1691,0,45615,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1692,1692,0,45616,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1693,1693,0,45617,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1694,1694,0,45618,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1695,1695,0,45619,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1696,1696,0,45620,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1697,1697,0,45621,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1698,1698,0,45622,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1699,1699,0,45623,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1700,1700,0,45624,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1701,1701,0,45625,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1702,1702,0,45626,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200700000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1703,1703,0,45627,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1704,1704,0,45628,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1705,1705,0,45629,70100208e0300000,ff,1,1,0,70090a2200700000,0,1,0,70100208e0300000,1,1,0,70090a2200700000,0,1,0,70090a2200700000,1,1,0,70090a2200700000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1706,1706,0,45630,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1707,1707,0,45631,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200800000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1708,1708,0,45632,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1709,1709,0,45633,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1710,1710,0,45634,70100208e0300000,ff,1,1,0,70090a2200800000,0,1,0,70100208e0300000,1,1,0,70090a2200800000,0,1,0,70090a2200800000,1,1,0,70090a2200800000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1711,1711,0,45635,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1712,1712,0,45636,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200800000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1713,1713,0,45637,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1714,1714,0,45638,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1715,1715,0,45639,70100208e0300000,ff,1,1,0,70090a2200800000,0,1,0,70100208e0300000,1,1,0,70090a2200800000,0,1,0,70090a2200800000,1,1,0,70090a2200800000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1716,1716,0,45640,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1717,1717,0,45641,70090a2200800000,ff,1,1,0,7010010721c00000,0,1,0,70090a2200800000,1,1,0,7010010721c00000,0,1,0,7010010721c00000,1,1,0,7010010721c00000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1718,1718,0,45642,7010030007200000,ff,1,1,0,70100208e0300000,0,1,0,7010030007200000,1,1,0,70100208e0300000,0,1,0,70100208e0300000,1,1,0,70100208e0300000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1719,1719,0,45643,7010010721c00000,ff,1,1,0,7010050918000000,0,1,0,7010010721c00000,1,1,0,7010050918000000,0,1,0,7010050918000000,1,1,0,7010050918000000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1720,1720,0,45644,70100208e0300000,ff,1,1,0,70090a2200800000,0,1,0,70100208e0300000,1,1,0,70090a2200800000,0,1,0,70090a2200800000,1,1,0,70090a2200800000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
1721,1721,0,45645,7010050918000000,ff,1,1,0,7010030007200000,0,1,0,7010050918000000,1,1,0,7010030007200000,0,1,0,7010030007200000,1,1,0,7010030007200000,0,1,0,"Active","_","Active","_","Active","_","Stream Beat","_","Stream Beat","_","Stream Beat","_"
